1	0.0239
2	0.025325
3	0.0235375
4	0.023625
5	0.0256
6	0.023925
7	0.023225
8	0.0216
9	0.021325
10	0.021325
11	0.0227625
12	0.0239
13	0.023925
14	0.0227
15	0.024575
16	0.02215
17	0.02535
18	0.0224
19	0.023625
20	0.02385
21	0.02305
22	0.0238
23	0.0210625
24	0.02365
25	0.0210625
26	0.0244875
27	0.0212375
28	0.021325
29	0.02305
30	0.021325
31	0.02205
32	0.0210625
33	0.0210625
34	0.0218375
35	0.02355
36	0.0210625
37	0.022575
38	0.022475
39	0.0239875
40	0.0218
41	0.023675
42	0.0209625
43	0.02225
44	0.021225
45	0.02405
46	0.021325
47	0.022725
48	0.0215625
49	0.02375
50	0.0216
